year,match,home,OTHER,goal_difference,half_time_goal_difference,L_goals,O_goals,L_half_time_goals,O_half_time_goals,L_shots,O_shots,L_shots_on_target,O_shots_on_target,L_corners,O_corners,L_fouls_committed,O_fouls_committed,L_yellow_cards,O_yellow_cards,L_red_cards,O_red_cards,points
19-20,1,1,Norwich,3.0,4.0,4.0,1.0,4.0,0.0,15.0,12.0,7.0,5.0,11.0,2.0,9.0,9.0,0.0,2.0,0.0,0.0,3.0
19-20,2,0,Southampton,1.0,1.0,2.0,1.0,1.0,0.0,15.0,14.0,6.0,3.0,9.0,5.0,6.0,10.0,1.0,2.0,0.0,0.0,6.0
19-20,3,1,Arsenal,2.0,1.0,3.0,1.0,1.0,0.0,25.0,9.0,5.0,3.0,6.0,4.0,8.0,5.0,1.0,1.0,0.0,0.0,9.0
19-20,4,0,Burnley,3.0,2.0,3.0,0.0,2.0,0.0,15.0,7.0,7.0,2.0,4.0,6.0,16.0,10.0,0.0,0.0,0.0,0.0,12.0
19-20,5,1,Newcastle,2.0,1.0,3.0,1.0,2.0,1.0,21.0,8.0,9.0,1.0,10.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,15.0
19-20,6,0,Chelsea,1.0,2.0,2.0,1.0,2.0,0.0,6.0,13.0,3.0,2.0,4.0,6.0,13.0,8.0,3.0,3.0,0.0,0.0,18.0
19-20,7,0,Sheffield United,1.0,0.0,1.0,0.0,0.0,0.0,16.0,12.0,4.0,2.0,5.0,6.0,4.0,8.0,1.0,1.0,0.0,0.0,21.0
19-20,8,1,Leicester,1.0,1.0,2.0,1.0,1.0,0.0,18.0,2.0,8.0,1.0,4.0,6.0,9.0,17.0,1.0,4.0,0.0,0.0,24.0
19-20,9,0,Man United,0.0,-1.0,1.0,1.0,0.0,1.0,10.0,7.0,4.0,2.0,1.0,3.0,14.0,6.0,1.0,0.0,0.0,0.0,25.0
19-20,10,1,Tottenham,1.0,-1.0,2.0,1.0,0.0,1.0,21.0,11.0,13.0,4.0,8.0,3.0,9.0,11.0,3.0,3.0,0.0,0.0,28.0
19-20,11,0,Aston Villa,1.0,-1.0,2.0,1.0,0.0,1.0,25.0,5.0,6.0,2.0,10.0,2.0,9.0,12.0,2.0,1.0,0.0,0.0,31.0
19-20,12,1,Man City,2.0,2.0,3.0,1.0,2.0,0.0,12.0,18.0,5.0,3.0,4.0,13.0,10.0,5.0,0.0,2.0,0.0,0.0,34.0
19-20,13,0,Crystal Palace,1.0,0.0,2.0,1.0,0.0,0.0,12.0,16.0,4.0,6.0,8.0,9.0,7.0,8.0,1.0,0.0,0.0,0.0,37.0
19-20,14,1,Brighton,1.0,2.0,2.0,1.0,2.0,0.0,15.0,12.0,7.0,5.0,4.0,5.0,3.0,10.0,0.0,0.0,1.0,0.0,40.0
19-20,15,1,Everton,3.0,2.0,5.0,2.0,4.0,2.0,11.0,12.0,5.0,4.0,5.0,6.0,13.0,17.0,1.0,2.0,0.0,0.0,43.0
19-20,16,0,Bournemouth,3.0,2.0,3.0,0.0,2.0,0.0,21.0,3.0,9.0,0.0,3.0,1.0,6.0,5.0,1.0,0.0,0.0,0.0,46.0
19-20,17,1,Watford,2.0,1.0,2.0,0.0,1.0,0.0,16.0,8.0,6.0,2.0,6.0,3.0,8.0,6.0,2.0,1.0,0.0,0.0,49.0
19-20,18,0,Leicester,4.0,1.0,4.0,0.0,1.0,0.0,15.0,3.0,6.0,0.0,8.0,2.0,7.0,5.0,1.0,1.0,0.0,0.0,52.0
19-20,19,1,Wolves,1.0,1.0,1.0,0.0,1.0,0.0,10.0,10.0,3.0,2.0,5.0,6.0,7.0,3.0,1.0,0.0,0.0,0.0,55.0
19-20,20,1,Sheffield United,2.0,1.0,2.0,0.0,1.0,0.0,19.0,3.0,7.0,2.0,8.0,4.0,5.0,8.0,0.0,0.0,0.0,0.0,58.0
18-19,1,1,West Ham,4.0,2.0,4.0,0.0,2.0,0.0,18.0,5.0,8.0,2.0,5.0,4.0,14.0,9.0,1.0,2.0,0.0,0.0,3.0
18-19,2,0,Crystal Palace,2.0,1.0,2.0,0.0,1.0,0.0,16.0,8.0,6.0,2.0,7.0,6.0,13.0,6.0,1.0,1.0,0.0,1.0,6.0
18-19,3,1,Brighton,1.0,1.0,1.0,0.0,1.0,0.0,22.0,6.0,8.0,2.0,8.0,5.0,8.0,14.0,1.0,1.0,0.0,0.0,9.0
18-19,4,0,Leicester,1.0,2.0,2.0,1.0,2.0,0.0,10.0,12.0,4.0,5.0,4.0,4.0,12.0,9.0,2.0,3.0,0.0,0.0,12.0
18-19,5,0,Tottenham,1.0,1.0,2.0,1.0,1.0,0.0,17.0,11.0,10.0,3.0,4.0,5.0,16.0,17.0,0.0,0.0,0.0,0.0,15.0
18-19,6,1,Southampton,3.0,3.0,3.0,0.0,3.0,0.0,12.0,7.0,4.0,1.0,5.0,4.0,7.0,10.0,0.0,2.0,0.0,0.0,18.0
18-19,7,0,Chelsea,0.0,-1.0,1.0,1.0,0.0,1.0,13.0,10.0,6.0,4.0,4.0,4.0,9.0,7.0,2.0,0.0,0.0,0.0,19.0
18-19,8,1,Man City,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,2.0,2.0,2.0,6.0,10.0,10.0,1.0,3.0,0.0,0.0,20.0
18-19,9,0,Huddersfield,1.0,1.0,1.0,0.0,1.0,0.0,11.0,13.0,2.0,1.0,4.0,2.0,6.0,9.0,2.0,0.0,0.0,0.0,23.0
18-19,10,1,Cardiff,3.0,1.0,4.0,1.0,1.0,0.0,19.0,2.0,7.0,1.0,8.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,26.0
18-19,11,0,Arsenal,0.0,0.0,1.0,1.0,0.0,0.0,13.0,12.0,4.0,4.0,8.0,5.0,7.0,7.0,1.0,1.0,0.0,0.0,27.0
18-19,12,1,Fulham,2.0,1.0,2.0,0.0,1.0,0.0,20.0,8.0,7.0,3.0,6.0,3.0,11.0,9.0,1.0,1.0,0.0,0.0,30.0
18-19,13,0,Watford,3.0,0.0,3.0,0.0,0.0,0.0,10.0,5.0,7.0,1.0,5.0,5.0,13.0,12.0,0.0,0.0,1.0,0.0,33.0
18-19,14,1,Everton,1.0,0.0,1.0,0.0,0.0,0.0,16.0,9.0,3.0,3.0,8.0,1.0,12.0,7.0,3.0,2.0,0.0,0.0,36.0
18-19,15,0,Burnley,2.0,0.0,3.0,1.0,0.0,0.0,18.0,10.0,12.0,6.0,9.0,5.0,3.0,10.0,0.0,1.0,0.0,0.0,39.0
18-19,16,0,Bournemouth,4.0,1.0,4.0,0.0,1.0,0.0,10.0,8.0,4.0,2.0,6.0,6.0,11.0,9.0,1.0,2.0,0.0,0.0,42.0
18-19,17,1,Man United,2.0,0.0,3.0,1.0,1.0,1.0,36.0,6.0,11.0,2.0,13.0,2.0,6.0,14.0,0.0,2.0,0.0,0.0,45.0
18-19,18,0,Wolves,2.0,1.0,2.0,0.0,1.0,0.0,15.0,11.0,6.0,5.0,10.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,48.0
18-19,19,1,Newcastle,4.0,1.0,4.0,0.0,1.0,0.0,16.0,6.0,8.0,2.0,10.0,2.0,7.0,9.0,0.0,0.0,0.0,0.0,51.0
18-19,20,1,Arsenal,4.0,3.0,5.0,1.0,4.0,1.0,15.0,8.0,10.0,2.0,5.0,3.0,8.0,13.0,1.0,2.0,0.0,0.0,54.0
18-19,21,0,Man City,-1.0,-1.0,1.0,2.0,0.0,1.0,7.0,9.0,5.0,4.0,1.0,2.0,7.0,12.0,2.0,4.0,0.0,0.0,54.0
18-19,22,0,Brighton,1.0,0.0,1.0,0.0,0.0,0.0,10.0,7.0,3.0,0.0,7.0,2.0,5.0,15.0,0.0,0.0,0.0,0.0,57.0
18-19,23,1,Crystal Palace,1.0,-1.0,4.0,3.0,0.0,1.0,19.0,9.0,9.0,3.0,8.0,3.0,6.0,8.0,0.0,1.0,1.0,0.0,60.0
18-19,24,1,Leicester,0.0,0.0,1.0,1.0,1.0,1.0,10.0,5.0,3.0,2.0,7.0,1.0,13.0,6.0,1.0,3.0,0.0,0.0,61.0
18-19,25,0,West Ham,0.0,0.0,1.0,1.0,1.0,1.0,11.0,13.0,6.0,2.0,5.0,2.0,11.0,9.0,1.0,1.0,0.0,0.0,62.0
18-19,26,1,Bournemouth,3.0,2.0,3.0,0.0,2.0,0.0,20.0,12.0,9.0,2.0,8.0,5.0,14.0,6.0,2.0,2.0,0.0,0.0,65.0
18-19,27,0,Man United,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,1.0,3.0,7.0,3.0,17.0,15.0,3.0,1.0,0.0,0.0,66.0
18-19,28,1,Watford,5.0,2.0,5.0,0.0,2.0,0.0,19.0,5.0,10.0,3.0,6.0,4.0,5.0,7.0,0.0,2.0,0.0,0.0,69.0
18-19,29,0,Everton,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,3.0,3.0,7.0,3.0,10.0,12.0,2.0,1.0,0.0,0.0,70.0
18-19,30,1,Burnley,2.0,1.0,4.0,2.0,2.0,1.0,23.0,3.0,5.0,2.0,7.0,3.0,4.0,7.0,2.0,0.0,0.0,0.0,73.0
18-19,31,0,Fulham,1.0,1.0,2.0,1.0,1.0,0.0,16.0,7.0,6.0,2.0,10.0,1.0,7.0,11.0,1.0,2.0,0.0,0.0,76.0
18-19,32,1,Tottenham,1.0,1.0,2.0,1.0,1.0,0.0,14.0,11.0,3.0,2.0,10.0,3.0,5.0,8.0,0.0,1.0,0.0,0.0,79.0
18-19,33,0,Southampton,2.0,0.0,3.0,1.0,1.0,1.0,17.0,11.0,5.0,1.0,5.0,7.0,7.0,8.0,4.0,2.0,0.0,0.0,82.0
18-19,34,1,Chelsea,2.0,0.0,2.0,0.0,0.0,0.0,15.0,6.0,7.0,3.0,9.0,2.0,5.0,9.0,0.0,1.0,0.0,0.0,85.0
18-19,35,0,Cardiff,2.0,0.0,2.0,0.0,0.0,0.0,17.0,7.0,6.0,2.0,10.0,5.0,5.0,6.0,1.0,1.0,0.0,0.0,88.0
18-19,36,1,Huddersfield,5.0,3.0,5.0,0.0,3.0,0.0,21.0,5.0,7.0,1.0,4.0,4.0,5.0,14.0,0.0,0.0,0.0,0.0,91.0
18-19,37,0,Newcastle,1.0,1.0,3.0,2.0,2.0,1.0,11.0,14.0,4.0,7.0,3.0,2.0,4.0,10.0,1.0,1.0,0.0,0.0,94.0
18-19,38,1,Wolves,2.0,1.0,2.0,0.0,1.0,0.0,13.0,7.0,5.0,2.0,4.0,1.0,3.0,11.0,0.0,2.0,0.0,0.0,97.0
17-18,1,0,Watford,0.0,-1.0,3.0,3.0,1.0,2.0,14.0,9.0,5.0,4.0,3.0,3.0,8.0,14.0,3.0,0.0,0.0,0.0,1.0
17-18,2,1,Crystal Palace,1.0,0.0,1.0,0.0,0.0,0.0,23.0,4.0,13.0,1.0,4.0,2.0,12.0,13.0,1.0,3.0,0.0,0.0,4.0
17-18,3,1,Arsenal,4.0,2.0,4.0,0.0,2.0,0.0,18.0,8.0,10.0,0.0,4.0,3.0,6.0,9.0,2.0,4.0,0.0,0.0,7.0
17-18,4,0,Man City,-5.0,-2.0,0.0,5.0,0.0,2.0,10.0,13.0,3.0,7.0,3.0,8.0,9.0,10.0,2.0,2.0,1.0,0.0,7.0
17-18,5,1,Burnley,0.0,0.0,1.0,1.0,1.0,1.0,35.0,5.0,9.0,4.0,12.0,2.0,7.0,9.0,1.0,2.0,0.0,0.0,8.0
17-18,6,0,Leicester,1.0,1.0,3.0,2.0,2.0,1.0,23.0,12.0,6.0,7.0,6.0,3.0,14.0,13.0,3.0,3.0,0.0,0.0,11.0
17-18,7,0,Newcastle,0.0,0.0,1.0,1.0,1.0,1.0,17.0,8.0,2.0,5.0,5.0,1.0,6.0,11.0,1.0,1.0,0.0,0.0,12.0
17-18,8,1,Man United,0.0,0.0,0.0,0.0,0.0,0.0,19.0,6.0,5.0,1.0,7.0,3.0,7.0,13.0,0.0,2.0,0.0,0.0,13.0
17-18,9,0,Tottenham,-3.0,-2.0,1.0,4.0,1.0,3.0,12.0,14.0,7.0,6.0,5.0,3.0,8.0,2.0,1.0,0.0,0.0,0.0,13.0
17-18,10,1,Huddersfield,3.0,0.0,3.0,0.0,0.0,0.0,16.0,1.0,8.0,0.0,9.0,2.0,10.0,8.0,0.0,1.0,0.0,0.0,16.0
17-18,11,0,West Ham,3.0,2.0,4.0,1.0,2.0,0.0,15.0,6.0,7.0,1.0,3.0,2.0,13.0,9.0,0.0,3.0,0.0,0.0,19.0
17-18,12,1,Southampton,3.0,2.0,3.0,0.0,2.0,0.0,21.0,5.0,8.0,0.0,10.0,2.0,15.0,9.0,1.0,1.0,0.0,0.0,22.0
17-18,13,1,Chelsea,0.0,0.0,1.0,1.0,0.0,0.0,16.0,11.0,4.0,3.0,7.0,8.0,10.0,7.0,0.0,0.0,0.0,0.0,23.0
17-18,14,0,Stoke,3.0,1.0,3.0,0.0,1.0,0.0,14.0,10.0,7.0,1.0,9.0,5.0,10.0,8.0,5.0,1.0,0.0,0.0,26.0
17-18,15,0,Brighton,4.0,2.0,5.0,1.0,2.0,0.0,12.0,6.0,6.0,2.0,2.0,2.0,7.0,8.0,0.0,1.0,0.0,0.0,29.0
17-18,16,1,Everton,0.0,1.0,1.0,1.0,1.0,0.0,23.0,3.0,3.0,2.0,12.0,1.0,8.0,11.0,1.0,3.0,0.0,0.0,30.0
17-18,17,1,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,5.0,1.0,5.0,7.0,16.0,6.0,1.0,0.0,0.0,0.0,31.0
17-18,18,0,Bournemouth,4.0,3.0,4.0,0.0,3.0,0.0,21.0,6.0,7.0,2.0,3.0,2.0,10.0,5.0,1.0,1.0,0.0,0.0,34.0
17-18,19,0,Arsenal,0.0,1.0,3.0,3.0,1.0,0.0,14.0,11.0,9.0,4.0,8.0,7.0,11.0,9.0,0.0,1.0,0.0,0.0,35.0
17-18,20,1,Swansea,5.0,1.0,5.0,0.0,1.0,0.0,22.0,7.0,9.0,4.0,4.0,2.0,5.0,8.0,0.0,1.0,0.0,0.0,38.0
17-18,21,1,Leicester,1.0,-1.0,2.0,1.0,0.0,1.0,17.0,7.0,6.0,1.0,7.0,1.0,7.0,3.0,3.0,2.0,0.0,0.0,41.0
17-18,22,0,Burnley,1.0,0.0,2.0,1.0,0.0,0.0,19.0,13.0,5.0,4.0,9.0,3.0,12.0,4.0,0.0,0.0,0.0,0.0,44.0
17-18,23,1,Man City,1.0,0.0,4.0,3.0,1.0,1.0,16.0,11.0,7.0,4.0,5.0,6.0,10.0,7.0,2.0,3.0,0.0,0.0,47.0
17-18,24,0,Swansea,-1.0,-1.0,0.0,1.0,0.0,1.0,21.0,3.0,4.0,2.0,9.0,3.0,9.0,5.0,2.0,0.0,0.0,0.0,47.0
17-18,25,0,Huddersfield,3.0,2.0,3.0,0.0,2.0,0.0,14.0,5.0,7.0,1.0,4.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,50.0
17-18,26,1,Tottenham,0.0,1.0,2.0,2.0,1.0,0.0,9.0,13.0,3.0,6.0,3.0,7.0,15.0,9.0,3.0,1.0,0.0,0.0,51.0
17-18,27,0,Southampton,2.0,2.0,2.0,0.0,2.0,0.0,16.0,6.0,4.0,4.0,1.0,3.0,8.0,5.0,2.0,1.0,0.0,0.0,54.0
17-18,28,1,West Ham,3.0,1.0,4.0,1.0,1.0,0.0,21.0,7.0,12.0,4.0,8.0,2.0,7.0,7.0,0.0,2.0,0.0,0.0,57.0
